Session: ClassificationLearnerSession_00-feature_selection_NONE,,,,,,,,,,
Training Data: train_data    Observations: 864,,,,,,,,,,
"Predictors: 36    Predictor Names: mean_fmg_Extensor, rms_fmg_Extensor, std_fmg_Extensor, median_fmg_Extensor, wl_fmg_Extensor, ssc_fmg_Extensor, rms_Extensor, mav_Extensor, sd_Extensor, iqr_Extensor, wl_Extensor, ssc_Extensor, iemg_Extensor, kurt_Extensor, log_Extensor, mnf_Extensor, pkf_Extensor, mnpsd_Extensor, mean_fmg_Flexor, rms_fmg_Flexor, std_fmg_Flexor, median_fmg_Flexor, wl_fmg_Flexor, ssc_fmg_Flexor, rms_Flexor, mav_Flexor, sd_Flexor, iqr_Flexor, wl_Flexor, ssc_Flexor, iemg_Flexor, kurt_Flexor, log_Flexor, mnf_Flexor, pkf_Flexor, mnpsd_Flexor",,,,,,,,,,
"Response Name: labels    Response Classes: 5    Response Class Names: abrir, fechar, ok, pinch, point",,,,,,,,,,
Validation: 5-fold cross-validation,,,,,,,,,,
Test Data: test_data    Observations: 216,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Favorite,Model Number,Model Type,Preset,Accuracy % (Validation),Accuracy % (Test),Prediction Speed (obs/sec),Training Time (sec),Model Size (bytes),Selected Features,Feature Ranking Algorithm
0,2.1,Tree,Fine Tree,72.5694444444444,74.0740740740741,38286.3321339313,8.5447175,40125,36/36,None
0,2.2,Tree,Medium Tree,61.1111111111111,56.9444444444444,36952.2913414452,2.8580859,16405,36/36,None
0,2.3,Tree,Coarse Tree,48.0324074074074,43.0555555555556,37296.520286458,4.0924041,10545,36/36,None
0,2.4,Discriminant,Linear Discriminant,72.337962962963,75.462962962963,24149.6608146597,1.1637807,35106,36/36,None
0,2.5,Discriminant,Quadratic Discriminant,83.3333333333333,83.7962962962963,22253.8171478024,1.8519429,130092,36/36,None
0,2.6,Efficient Logistic Regression,Efficient Logistic Regression,35.3009259259259,31.0185185185185,17426.8385415511,1.8954256,173268,36/36,None
0,2.7,Efficient Linear SVM,Efficient Linear SVM,62.8472222222222,68.0555555555556,15985.346765465,2.9467625,172824,36/36,None
0,2.8,Naive Bayes,Gaussian Naive Bayes,55.2083333333333,56.9444444444444,4885.8111294706,1.5347976,34894,36/36,None
0,2.9,Naive Bayes,Kernel Naive Bayes,63.5416666666667,64.8148148148148,1222.54751167717,7.4160318,1403362,36/36,None
0,2.10,SVM,Linear SVM,72.4537037037037,74.537037037037,13609.0638885695,1.7546128,104824,36/36,None
0,2.11,SVM,Quadratic SVM,90.0462962962963,88.4259259259259,13404.0562784196,1.7790535,323032,36/36,None
0,2.12,SVM,Cubic SVM,89.3518518518518,87.962962962963,15504.5436926655,2.1733018,309656,36/36,None
0,2.13,SVM,Fine Gaussian SVM,76.5046296296296,72.6851851851852,11002.9073654532,3.2870401,1116736,36/36,None
0,2.14,SVM,Medium Gaussian SVM,86.9212962962963,87.962962962963,12468.6659826218,2.0963838,526064,36/36,None
0,2.15,SVM,Coarse Gaussian SVM,64.3518518518518,62.962962962963,11192.8552274132,2.5114956,756800,36/36,None
0,2.16,KNN,Fine KNN,88.1944444444444,86.5740740740741,9038.49835392625,1.4997457,273638,36/36,None
0,2.17,KNN,Medium KNN,82.7546296296296,85.6481481481482,12437.9720923001,1.2027991,273638,36/36,None
0,2.18,KNN,Coarse KNN,60.5324074074074,65.2777777777778,13686.6517127324,2.817454,273638,36/36,None
0,2.19,KNN,Cosine KNN,81.0185185185185,84.2592592592593,11923.7871272781,1.1953311,273626,36/36,None
0,2.20,KNN,Cubic KNN,81.0185185185185,83.7962962962963,4432.8492600374,1.2089171,273654,36/36,None
0,2.21,KNN,Weighted KNN,87.2685185185185,88.4259259259259,14223.1587265005,2.5491685,273656,36/36,None
0,2.22,Ensemble,Boosted Trees,74.1898148148148,68.5185185185185,4009.81104229562,4.71709,496322,36/36,None
0,2.23,Ensemble,Bagged Trees,83.912037037037,83.3333333333333,3396.19437552476,6.0440139,1294910,36/36,None
0,2.24,Ensemble,Subspace Discriminant,70.6018518518518,69.9074074074074,1811.93726922179,5.5416706,443626,36/36,None
0,2.25,Ensemble,Subspace KNN,66.087962962963,66.2037037037037,1040.00341852976,5.2732761,4398150,36/36,None
0,2.26,Ensemble,RUSBoosted Trees,70.3703703703704,64.3518518518518,3620.64673802358,6.284435,496322,36/36,None
0,2.27,Neural Network,Narrow Neural Network,81.1342592592593,82.4074074074074,15343.3337299396,3.3779941,14757,36/36,None
0,2.28,Neural Network,Medium Neural Network,84.6064814814815,85.6481481481482,20333.7655827483,1.8541389,19797,36/36,None
0,2.29,Neural Network,Wide Neural Network,87.1527777777778,82.4074074074074,19448.5087225661,3.7470296,44997,36/36,None
0,2.30,Neural Network,Bilayered Neural Network,81.5972222222222,81.0185185185185,25766.2015429899,7.3356684,16557,36/36,None
0,2.31,Neural Network,Trilayered Neural Network,77.7777777777778,75.9259259259259,23355.6437399306,8.1055432,18357,36/36,None
0,2.32,Kernel,SVM Kernel,63.0787037037037,67.5925925925926,4668.37768472241,13.9048633,303174,36/36,None
0,2.33,Kernel,Logistic Regression Kernel,58.2175925925926,60.6481481481482,3585.7496333322,5.8896029,303594,36/36,None
