Session: ClassificationLearnerSession_05-initial_selection_FMG,,,,,,,,,,,
Training Data: train_data    Observations: 864,,,,,,,,,,,
"Predictors: 36    Predictor Names: mean_fmg_Extensor, rms_fmg_Extensor, std_fmg_Extensor, median_fmg_Extensor, wl_fmg_Extensor, ssc_fmg_Extensor, rms_Extensor, mav_Extensor, sd_Extensor, iqr_Extensor, wl_Extensor, ssc_Extensor, iemg_Extensor, kurt_Extensor, log_Extensor, mnf_Extensor, pkf_Extensor, mnpsd_Extensor, mean_fmg_Flexor, rms_fmg_Flexor, std_fmg_Flexor, median_fmg_Flexor, wl_fmg_Flexor, ssc_fmg_Flexor, rms_Flexor, mav_Flexor, sd_Flexor, iqr_Flexor, wl_Flexor, ssc_Flexor, iemg_Flexor, kurt_Flexor, log_Flexor, mnf_Flexor, pkf_Flexor, mnpsd_Flexor",,,,,,,,,,,
"Response Name: labels    Response Classes: 5    Response Class Names: abrir, fechar, ok, pinch, point",,,,,,,,,,,
Validation: 5-fold cross-validation,,,,,,,,,,,
Test Data: test_data    Observations: 216,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Favorite,Model Number,Model Type,Accuracy % (Validation),Accuracy % (Test),Preset,Prediction Speed (obs/sec),Training Time (sec),Model Size (bytes),Hyperparameters,Feature Ranking Algorithm,Selected Features
0,2.1,Tree,56.9444444444444,60.1851851851852,Fine Tree,41125.8193034314,8.2306678,40981,Maximum number of splits: 100; Split criterion: Gini's diversity index; Surrogate decision splits: Off,None,12/36
0,2.2,Tree,50.9259259259259,52.3148148148148,Medium Tree,38645.4414928591,2.7202466,13297,Maximum number of splits: 20; Split criterion: Gini's diversity index; Surrogate decision splits: Off,None,12/36
0,2.3,Tree,41.6666666666667,42.5925925925926,Coarse Tree,39697.1256340513,0.8884999,7297,Maximum number of splits: 4; Split criterion: Gini's diversity index; Surrogate decision splits: Off,None,12/36
0,2.4,Discriminant,50.6944444444444,53.2407407407407,Linear Discriminant,28932.0264808409,0.9904567,9778,Covariance structure: Full,None,12/36
0,2.5,Discriminant,55.3240740740741,57.4074074074074,Quadratic Discriminant,22736.3634449801,1.5634898,23932,Covariance structure: Full,None,12/36
0,2.6,Efficient Logistic Regression,47.9166666666667,50.9259259259259,Efficient Logistic Regression,16935.365315823,2.1994214,133700,Learner: Logistic regression; Solver: Auto; Regularization strength (Lambda): Auto; Relative coefficient tolerance (Beta tolerance): 0.0001,None,12/36
0,2.7,Efficient Linear SVM,47.5694444444444,46.7592592592593,Efficient Linear SVM,14591.5382588782,3.6084518,133256,Learner: SVM; Solver: Auto; Regularization strength (Lambda): Auto; Relative coefficient tolerance (Beta tolerance): 0.0001,None,12/36
0,2.8,Naive Bayes,49.1898148148148,50.462962962963,Gaussian Naive Bayes,8374.79535547808,1.4360185,14270,Distribution name for numeric predictors: Gaussian; Distribution name for categorical predictors: Not Applicable,None,12/36
0,2.9,Naive Bayes,49.6527777777778,49.0740740740741,Kernel Naive Bayes,1063.08368092725,4.6094506,470426,Distribution name for numeric predictors: Kernel; Distribution name for categorical predictors: Not Applicable; Kernel type: Gaussian; Support: Unbounded,None,12/36
0,2.10,SVM,52.4305555555556,52.7777777777778,Linear SVM,10549.4634303583,2.4799357,63336,Kernel function: Linear; Kernel scale: Automatic; Box constraint level: 1; Multiclass method: One-vs-One; Standardize data: Yes,None,12/36
0,2.11,SVM,65.162037037037,68.0555555555556,Quadratic SVM,7347.69478832431,3.8801285,197752,Kernel function: Quadratic; Kernel scale: Automatic; Box constraint level: 1; Multiclass method: One-vs-One; Standardize data: Yes,None,12/36
0,2.12,SVM,70.4861111111111,70.3703703703704,Cubic SVM,9698.33029325102,4.7628412,168968,Kernel function: Cubic; Kernel scale: Automatic; Box constraint level: 1; Multiclass method: One-vs-One; Standardize data: Yes,None,12/36
0,2.13,SVM,66.3194444444444,68.0555555555556,Custom SVM,7342.12518833316,2.7838007,307136,Kernel function: Gaussian; Kernel scale: 1.5; Box constraint level: 1; Multiclass method: One-vs-One; Standardize data: Yes,None,12/36
0,2.14,SVM,56.8287037037037,58.3333333333333,Custom SVM,6470.56268432491,2.3024603,289104,Kernel function: Gaussian; Kernel scale: 6; Box constraint level: 1; Multiclass method: One-vs-One; Standardize data: Yes,None,12/36
0,2.15,SVM,47.1064814814815,45.8333333333333,Custom SVM,8093.32048144016,2.672464,362688,Kernel function: Gaussian; Kernel scale: 24; Box constraint level: 1; Multiclass method: One-vs-One; Standardize data: Yes,None,12/36
0,2.16,KNN,65.0462962962963,63.4259259259259,Fine KNN,9178.68802128096,1.8979992,104118,Number of neighbors: 1; Distance metric: Euclidean; Distance weight: Equal; Standardize data: Yes,None,12/36
0,2.17,KNN,62.7314814814815,63.8888888888889,Medium KNN,8596.96360021731,1.6111809,104118,Number of neighbors: 10; Distance metric: Euclidean; Distance weight: Equal; Standardize data: Yes,None,12/36
0,2.18,KNN,52.1990740740741,51.8518518518518,Coarse KNN,10655.5112672165,2.4796922,104118,Number of neighbors: 100; Distance metric: Euclidean; Distance weight: Equal; Standardize data: Yes,None,12/36
0,2.19,KNN,60.5324074074074,57.4074074074074,Cosine KNN,15206.5289513655,1.6160453,104106,Number of neighbors: 10; Distance metric: Cosine; Distance weight: Equal; Standardize data: Yes,None,12/36
0,2.20,KNN,62.3842592592593,62.037037037037,Cubic KNN,8162.08541282298,0.9620638,104134,Number of neighbors: 10; Distance metric: Minkowski (cubic); Distance weight: Equal; Standardize data: Yes,None,12/36
0,2.21,KNN,67.2453703703704,64.8148148148148,Weighted KNN,16162.855737159,1.5015801,104136,Number of neighbors: 10; Distance metric: Euclidean; Distance weight: Squared inverse; Standardize data: Yes,None,12/36
0,2.22,Ensemble,53.4722222222222,58.7962962962963,Boosted Trees,3958.22061490774,3.2788959,395634,Ensemble method: AdaBoost; Learner type: Decision tree; Maximum number of splits: 20; Number of learners: 30; Learning rate: 0.1; Number of predictors to sample: Select All,None,12/36
0,2.23,Ensemble,65.0462962962963,65.7407407407407,Bagged Trees,3050.31537577838,6.5856998,1888422,Ensemble method: Bag; Learner type: Decision tree; Maximum number of splits: 863; Number of learners: 30; Number of predictors to sample: Select All,None,12/36
0,2.24,Ensemble,50.3472222222222,51.8518518518518,Custom Ensemble,2184.15125247423,7.5254473,283174,Ensemble method: Subspace; Learner type: Discriminant; Number of learners: 30; Subspace dimension: 18,None,12/36
0,2.25,Ensemble,55.6712962962963,55.0925925925926,Custom Ensemble,862.560903388786,7.8058343,2915502,Ensemble method: Subspace; Learner type: Nearest neighbors; Number of learners: 30; Subspace dimension: 18,None,12/36
0,2.26,Ensemble,54.6296296296296,53.7037037037037,RUSBoosted Trees,3386.79291878047,7.9225577,395634,Ensemble method: RUSBoost; Learner type: Decision tree; Maximum number of splits: 20; Number of learners: 30; Learning rate: 0.1; Number of predictors to sample: Select All,None,12/36
0,2.27,Neural Network,63.1944444444444,68.5185185185185,Narrow Neural Network,17929.4029757829,34.8395123,9205,Number of fully connected layers: 1; First layer size: 10; Activation: ReLU; Iteration limit: 1000; Regularization strength (Lambda): 0; Standardize data: Yes,None,12/36
0,2.28,Neural Network,59.4907407407407,60.1851851851852,Medium Neural Network,24871.3254343846,34.1906799,11365,Number of fully connected layers: 1; First layer size: 25; Activation: ReLU; Iteration limit: 1000; Regularization strength (Lambda): 0; Standardize data: Yes,None,12/36
0,2.29,Neural Network,67.2453703703704,68.0555555555556,Wide Neural Network,23812.6080042334,32.9885478,22165,Number of fully connected layers: 1; First layer size: 100; Activation: ReLU; Iteration limit: 1000; Regularization strength (Lambda): 0; Standardize data: Yes,None,12/36
0,2.30,Neural Network,60.7638888888889,69.4444444444444,Bilayered Neural Network,28394.7127993112,37.4267422,11005,Number of fully connected layers: 2; First layer size: 10; Second layer size: 10; Activation: ReLU; Iteration limit: 1000; Regularization strength (Lambda): 0; Standardize data: Yes,None,12/36
0,2.31,Neural Network,60.1851851851852,59.7222222222222,Trilayered Neural Network,34068.8632671409,38.6688898,12805,Number of fully connected layers: 3; First layer size: 10; Second layer size: 10; Third layer size: 10; Activation: ReLU; Iteration limit: 1000; Regularization strength (Lambda): 0; Standardize data: Yes,None,12/36
0,2.32,Kernel,55.787037037037,53.2407407407407,Custom Kernel,3533.81893349835,13.9268693,144566,Learner: SVM; Number of expansion dimensions: Auto; Regularization strength (Lambda): Auto; Kernel scale: Auto; Multiclass method: One-vs-One; Iteration limit: 1000,None,12/36
0,2.33,Kernel,52.4305555555556,50,Custom Kernel,3212.10607088047,11.5381435,144986,Learner: Logistic Regression; Number of expansion dimensions: Auto; Regularization strength (Lambda): Auto; Kernel scale: Auto; Multiclass method: One-vs-One; Iteration limit: 1000,None,12/36
